SampleName,Dataset,xsec [pb],xsec unc [pb],Ntuple List,Pileup File,Nevents,SumW,SumW2,Neff,Luminosity [/fb],TLatexName,,,
TTGJetsTuneCP513TeVamcatnloFXFXmadspinpythia8,/TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,4.115,.008572,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/TTGJetsTuneCP513TeVamcatnloFXFXmadspinpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/TTGJetsTuneCP513TeVamcatnloFXFXmadspinpythia8.root,7349100,52378711.1,2475099191,1108452.294,269.3687227,t#bar{t}+#gamma+jets,,TRUE,TRUE
WGJetsMonoPhotonPtG130TuneCP513TeVmadgraph,/WGJets_MonoPhoton_PtG-130_TuneCP5_13TeV-madgraph/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,0.7158,0.0002675,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WGJetsMonoPhotonPtG130TuneCP513TeVmadgraph.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WGJetsMonoPhotonPtG130TuneCP513TeVmadgraph.root,4917580,4903944,4917580,4890345.811,6832.000295,W+#gamma (p_{T}^{#gamma}>130 GeV),,TRUE,TRUE
WGToLNuGPtG130TuneCP513TeVamcatnloFXFXpythia8,/WGToLNuG_PtG-130_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,1.126,.00195,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WGToLNuGPtG130TuneCP513TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WGToLNuGPtG130TuneCP513TeVamcatnloFXFXpythia8.root,2011805,3734874.899,25552788.26,545900.9158,484.8143124,W+#gamma,,TRUE,TRUE
WJetsToLNuHT100To200TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v2,/WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,1394,0.2149,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuHT100To200TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v2.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuHT100To200TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v2.root,35862893,35804623,35862893,35746447.68,25.64307581,,,TRUE,TRUE
WJetsToLNuHT1200To2500TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1,/WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,1.082,0.0002308,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuHT1200To2500TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuHT1200To2500TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.root,20258624,19991892,20258624,19728671.89,18233.523,,,TRUE,TRUE
WJetsToLNuHT200To400TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1,/WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,409.4,0.08321,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuHT200To400TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuHT200To400TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.root,21250517,21192211,21250517,21134064.98,51.62204441,,,TRUE,TRUE
WJetsToLNuHT2500ToInfTuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v3,/WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v3/MINIAODSIM,0.008099,0.000001715,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuHT2500ToInfTuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v3.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuHT2500ToInfTuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v3.root,21495421,20629585,21495421,19798624.89,2444576.477,,,TRUE,TRUE
WJetsToLNuHT400To600TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1,/WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,57.88,0.01447,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuHT400To600TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuHT400To600TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.root,14313274,14250114,14313274,14187232.71,245.1145942,,,TRUE,TRUE
WJetsToLNuHT600To800TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1,/WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,12.94,0.004454,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuHT600To800TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuHT600To800TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.root,21709087,21582309,21709087,21456271.37,1658.135345,,,TRUE,TRUE
WJetsToLNuHT70To100TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1,/WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,1293,0.2478,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuHT70To100TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuHT70To100TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.root,22255124,22229710,22255124,22204325.02,17.1727185,,,TRUE,TRUE
WJetsToLNuHT800To1200TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1,/WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,5.399,0.001139,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuHT800To1200TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuHT800To1200TuneCP513TeVmadgraphMLMpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.root,20432728,20272990,20432728,20114500.79,3725.597479,,,TRUE,TRUE
WJetsToLNuTuneCP513TeVamcatnloFXFXpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1,/WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,66990,118.9,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WJetsToLNuTuneCP513TeVamcatnloFXFXpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WJetsToLNuTuneCP513TeVamcatnloFXFXpythia8RunIIFall17MiniAODv2PU201712Apr201894Xmc2017realisticv14v1.root,29131933,5017855294284,1.83749E+18,13702858.51,0.2045508062,,,TRUE,TRUE
WToENuM100TuneCP513TeVpythia8,/WToENu_M-100_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,174.,.06514,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WToENuM100TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WToENuM100TuneCP513TeVpythia8.root,1916817,1916817,1916817,1916817,11.01618966,W(#rightarrowe#nu),,TRUE,TRUE
WToMuNuM100TuneCP513TeVpythia8,/WToMuNu_M-100_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,174.2,.06537,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WToMuNuM100TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WToMuNuM100TuneCP513TeVpythia8.root,1905408,1905408,1905408,1905408,10.93804822,W(#rightarrow#mu#nu),,TRUE,TRUE
WToTauNuM100TuneCP513TeVpythia8tauola,/WToTauNu_M-100_TuneCP5_13TeV-pythia8-tauola/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,174.,.09011,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WToTauNuM100TuneCP513TeVpythia8tauola.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WToTauNuM100TuneCP513TeVpythia8tauola.root,1000000,1000000,1000000,1000000,5.747126437,W(#rightarrow#tau#nu),,TRUE,TRUE
WWTuneCP513TeVpythia8,/WW_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,75.9,.01276,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WWTuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WWTuneCP513TeVpythia8.root,7765828,7765891.02,7765973.67,7765808.372,102.3163158,WW,,TRUE,TRUE
WZTuneCP513TeVpythia8,/WZ_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,27.57,.00638,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/WZTuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/WZTuneCP513TeVpythia8.root,3928630,3928630,3928630,3928630,142.4965542,WZ,,TRUE,TRUE
ZGTo2LGPtG130TuneCP513TeVamcatnloFXFXpythia8,/ZGTo2LG_PtG-130_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.1597,.0003007,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/ZGTo2LGPtG130TuneCP513TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/ZGTo2LGPtG130TuneCP513TeVamcatnloFXFXpythia8.root,2327487,682541.9904,729319.8942,638764.3781,3999.776945,Z(#rightarrowl#bar{l})+#gamma,,TRUE,TRUE
